"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"11:00:20.327, 11 giu 2023","14,8","0,0","385.876.000","192.103.528"
"11:00:21.328, 11 giu 2023","12,4","0,0","385.876.000","167.017.600"
"11:00:22.329, 11 giu 2023","12,6","0,0","385.876.000","139.050.128"
"11:00:23.330, 11 giu 2023","14,4","0,1","385.876.000","111.826.272"
"11:00:24.331, 11 giu 2023","11,8","0,1","385.876.000","90.960.544"
"11:00:25.333, 11 giu 2023","13,0","0,1","385.876.000","59.510.368"
"11:00:26.334, 11 giu 2023","12,3","0,0","385.876.000","254.440.968"
"11:00:27.335, 11 giu 2023","12,2","0,0","385.876.000","207.740.696"
"11:00:28.336, 11 giu 2023","14,4","0,0","385.876.000","102.318.176"
"11:00:29.337, 11 giu 2023","12,0","0,0","385.876.000","234.472.288"
"11:00:30.338, 11 giu 2023","12,4","0,0","385.876.000","142.916.472"
"11:00:31.339, 11 giu 2023","13,0","0,1","385.876.000","74.524.496"
"11:00:32.340, 11 giu 2023","13,0","0,0","385.876.000","229.743.976"
"11:00:33.342, 11 giu 2023","13,1","0,1","385.876.000","141.845.920"
"11:00:34.344, 11 giu 2023","12,8","0,1","385.876.000","66.106.880"
"11:00:35.345, 11 giu 2023","12,7","0,0","385.876.000","208.716.928"
"11:00:36.347, 11 giu 2023","13,9","0,1","385.876.000","139.619.216"
"11:00:37.348, 11 giu 2023","12,4","0,1","385.876.000","68.187.712"
"11:00:38.349, 11 giu 2023","12,6","0,0","385.876.000","223.264.664"
"11:00:39.350, 11 giu 2023","13,2","0,0","385.876.000","168.517.392"
"11:00:40.352, 11 giu 2023","12,2","0,0","385.876.000","105.896.784"
"11:00:41.353, 11 giu 2023","13,2","0,0","385.876.000","277.185.848"
"11:00:42.354, 11 giu 2023","12,4","0,0","385.876.000","235.875.072"
"11:00:43.355, 11 giu 2023","12,4","0,0","385.876.000","212.911.680"
"11:00:44.356, 11 giu 2023","12,4","0,0","385.876.000","181.217.888"
"11:00:45.358, 11 giu 2023","14,1","0,0","385.876.000","138.839.312"
"11:00:46.359, 11 giu 2023","13,0","0,0","385.876.000","128.523.712"
"11:00:47.360, 11 giu 2023","11,8","0,0","385.876.000","97.153.168"
"11:00:48.362, 11 giu 2023","12,6","0,0","385.876.000","190.433.968"
"11:00:49.364, 11 giu 2023","13,2","0,0","385.876.000","115.078.944"
"11:00:50.365, 11 giu 2023","12,4","0,0","385.876.000","263.916.752"
"11:00:51.366, 11 giu 2023","13,8","0,0","385.876.000","196.898.112"
"11:00:52.367, 11 giu 2023","14,7","0,0","385.876.000","126.670.720"
"11:00:53.368, 11 giu 2023","12,0","0,0","385.876.000","57.512.376"
"11:00:54.369, 11 giu 2023","12,4","0,0","385.876.000","191.775.808"
"11:00:55.370, 11 giu 2023","13,0","0,0","385.876.000","233.895.848"
"11:00:56.372, 11 giu 2023","12,2","0,1","385.876.000","150.041.808"
"11:00:57.373, 11 giu 2023","12,4","0,1","385.876.000","112.998.224"
"11:00:58.374, 11 giu 2023","12,4","0,1","385.876.000","66.553.856"
"11:00:59.375, 11 giu 2023","12,4","0,0","385.876.000","246.913.680"
"11:01:00.376, 11 giu 2023","16,1","0,1","385.876.000","194.479.776"
"11:01:01.576, 11 giu 2023","12,4","0,0","385.876.000","198.231.080"
"11:01:02.379, 11 giu 2023","13,2","0,0","385.876.000","248.927.416"
"11:01:03.380, 11 giu 2023","12,2","0,0","385.876.000","206.356.824"
"11:01:04.382, 11 giu 2023","12,2","0,0","385.876.000","176.750.216"
"11:01:05.383, 11 giu 2023","13,0","0,0","385.876.000","99.291.264"
"11:01:06.385, 11 giu 2023","12,2","0,0","385.876.000","249.187.080"
"11:01:07.386, 11 giu 2023","12,2","0,0","385.876.000","178.669.120"
"11:01:08.387, 11 giu 2023","12,3","0,0","385.876.000","87.902.544"
"11:01:09.388, 11 giu 2023","13,0","0,0","385.876.000","218.027.840"
"11:01:10.389, 11 giu 2023","12,2","0,0","385.876.000","113.404.352"
"11:01:11.390, 11 giu 2023","13,4","0,0","385.876.000","240.593.088"
"11:01:12.391, 11 giu 2023","11,8","0,0","385.876.000","203.752.960"
"11:01:13.392, 11 giu 2023","13,1","0,0","385.876.000","93.105.856"
"11:01:14.393, 11 giu 2023","12,6","0,0","385.876.000","233.464.896"
"11:01:15.394, 11 giu 2023","12,4","0,0","385.876.000","165.516.264"
"11:01:16.396, 11 giu 2023","12,4","0,0","385.876.000","96.849.856"
"11:01:17.398, 11 giu 2023","12,6","0,0","385.876.000","271.418.464"
"11:01:18.399, 11 giu 2023","14,4","0,0","385.876.000","235.713.520"
"11:01:19.400, 11 giu 2023","13,0","0,0","385.876.000","206.481.936"
"11:01:20.401, 11 giu 2023","12,2","0,0","385.876.000","166.459.984"
"11:01:21.402, 11 giu 2023","13,0","0,0","385.876.000","95.880.752"
"11:01:22.404, 11 giu 2023","12,2","0,0","385.876.000","259.692.296"
"11:01:23.405, 11 giu 2023","12,2","0,0","385.876.000","194.393.984"
"11:01:24.407, 11 giu 2023","14,3","0,0","385.876.000","182.148.688"
"11:01:25.409, 11 giu 2023","12,6","0,0","385.876.000","130.332.120"
"11:01:26.410, 11 giu 2023","12,8","0,0","385.876.000","83.350.144"
"11:01:27.416, 11 giu 2023","12,3","0,0","385.876.000","224.525.464"
"11:01:28.418, 11 giu 2023","13,8","0,0","385.876.000","115.755.056"
"11:01:29.418, 11 giu 2023","12,2","0,0","385.876.000","273.002.272"
"11:01:30.419, 11 giu 2023","14,0","0,0","385.876.000","184.614.672"
"11:01:31.420, 11 giu 2023","12,6","0,0","385.876.000","115.650.688"
"11:01:32.421, 11 giu 2023","12,0","0,0","385.876.000","245.328.600"
"11:01:33.423, 11 giu 2023","13,3","0,0","385.876.000","126.371.744"
"11:01:34.424, 11 giu 2023","12,6","0,0","385.876.000","221.875.712"
"11:01:35.425, 11 giu 2023","12,4","0,0","385.876.000","169.286.480"
"11:01:36.426, 11 giu 2023","12,5","0,0","385.876.000","138.582.528"
"11:01:37.427, 11 giu 2023","13,6","0,0","385.876.000","83.272.856"
"11:01:38.429, 11 giu 2023","13,5","0,0","385.876.000","267.968.608"
"11:01:39.430, 11 giu 2023","13,0","0,0","385.876.000","234.878.368"
"11:01:40.431, 11 giu 2023","14,3","0,0","385.876.000","195.112.976"
"11:01:41.432, 11 giu 2023","12,2","0,0","385.876.000","90.542.912"
"11:01:42.434, 11 giu 2023","12,8","0,0","385.876.000","256.353.160"
"11:01:43.436, 11 giu 2023","12,2","0,0","385.876.000","176.799.624"
"11:01:44.437, 11 giu 2023","12,4","0,0","385.876.000","63.214.368"
"11:01:45.439, 11 giu 2023","12,2","0,0","385.876.000","225.240.336"
"11:01:46.440, 11 giu 2023","12,7","0,0","385.876.000","164.492.160"
"11:01:47.440, 11 giu 2023","13,6","0,0","385.876.000","121.329.360"
"11:01:48.442, 11 giu 2023","13,1","0,0","385.876.000","69.248.232"
"11:01:49.443, 11 giu 2023","13,6","0,0","385.876.000","279.140.464"
"11:01:50.444, 11 giu 2023","12,2","0,0","385.876.000","249.731.584"
"11:01:51.444, 11 giu 2023","13,0","0,0","385.876.000","157.058.504"
"11:01:52.445, 11 giu 2023","12,2","0,0","385.876.000","79.633.280"
"11:01:53.446, 11 giu 2023","12,2","0,0","385.876.000","224.488.912"
"11:01:54.447, 11 giu 2023","13,0","0,1","385.876.000","144.737.560"
"11:01:55.449, 11 giu 2023","12,2","0,0","385.876.000","83.425.920"
"11:01:56.451, 11 giu 2023","13,0","0,0","385.876.000","237.662.536"
"11:01:57.453, 11 giu 2023","12,2","0,0","385.876.000","204.171.600"
"11:01:58.454, 11 giu 2023","14,5","0,1","385.876.000","134.874.880"
"11:01:59.455, 11 giu 2023","13,3","0,1","385.876.000","65.821.520"
"11:02:00.456, 11 giu 2023","14,4","0,0","385.876.000","195.972.776"
"11:02:01.458, 11 giu 2023","12,2","0,1","385.876.000","99.622.336"
"11:02:02.459, 11 giu 2023","13,3","0,0","385.876.000","254.698.856"
"11:02:03.460, 11 giu 2023","14,4","0,0","385.876.000","118.515.184"
"11:02:04.461, 11 giu 2023","12,2","0,0","385.876.000","265.726.416"
"11:02:05.462, 11 giu 2023","13,6","0,1","385.876.000","167.195.248"
"11:02:06.463, 11 giu 2023","14,2","0,1","385.876.000","68.638.520"
"11:02:07.465, 11 giu 2023","12,4","0,0","385.876.000","213.340.424"
"11:02:08.466, 11 giu 2023","12,5","0,1","385.876.000","137.729.296"
"11:02:09.468, 11 giu 2023","12,3","0,1","385.876.000","66.036.096"
"11:02:10.469, 11 giu 2023","14,4","0,0","385.876.000","250.524.432"
"11:02:11.471, 11 giu 2023","12,6","0,0","385.876.000","179.791.616"
"11:02:12.472, 11 giu 2023","13,6","0,1","385.876.000","155.151.392"
"11:02:13.473, 11 giu 2023","13,0","0,1","385.876.000","132.032.176"
"11:02:14.474, 11 giu 2023","12,2","0,1","385.876.000","98.402.392"
"11:02:15.475, 11 giu 2023","13,6","0,1","385.876.000","65.006.080"
"11:02:16.477, 11 giu 2023","13,2","0,0","385.876.000","249.573.936"
"11:02:17.479, 11 giu 2023","12,3","0,1","385.876.000","209.585.768"
"11:02:18.481, 11 giu 2023","12,3","0,1","385.876.000","167.643.976"
"11:02:19.482, 11 giu 2023","12,3","0,1","385.876.000","87.535.568"
"11:02:20.483, 11 giu 2023","13,9","0,0","385.876.000","276.197.280"
"11:02:21.484, 11 giu 2023","12,9","0,0","385.876.000","231.135.936"
"11:02:22.485, 11 giu 2023","12,4","0,0","385.876.000","165.893.360"
"11:02:23.487, 11 giu 2023","12,6","0,0","385.876.000","276.854.656"
"11:02:24.488, 11 giu 2023","13,1","0,0","385.876.000","212.849.504"
"11:02:25.489, 11 giu 2023","12,8","0,0","385.876.000","150.110.008"
"11:02:26.490, 11 giu 2023","12,9","0,0","385.876.000","120.065.664"
"11:02:27.492, 11 giu 2023","13,2","0,0","385.876.000","111.765.696"
"11:02:28.493, 11 giu 2023","12,2","0,0","385.876.000","99.247.840"
"11:02:29.494, 11 giu 2023","13,0","0,0","385.876.000","83.495.424"
"11:02:30.495, 11 giu 2023","13,0","0,0","385.876.000","246.283.032"
"11:02:31.496, 11 giu 2023","12,2","0,0","385.876.000","187.454.656"
"11:02:32.498, 11 giu 2023","12,8","0,0","385.876.000","277.803.904"
"11:02:33.499, 11 giu 2023","12,2","0,0","385.876.000","200.011.056"
"11:02:34.500, 11 giu 2023","12,6","0,0","385.876.000","120.251.400"
"11:02:35.502, 11 giu 2023","13,0","0,0","385.876.000","277.533.696"
"11:02:36.504, 11 giu 2023","12,2","0,0","385.876.000","189.828.352"
"11:02:37.505, 11 giu 2023","12,4","0,0","385.876.000","172.096.496"
"11:02:38.506, 11 giu 2023","12,6","0,0","385.876.000","157.503.672"
"11:02:39.508, 11 giu 2023","12,3","0,0","385.876.000","101.586.944"
"11:02:40.509, 11 giu 2023","13,0","0,0","385.876.000","271.473.952"
"11:02:41.510, 11 giu 2023","12,2","0,0","385.876.000","208.570.656"
"11:02:42.512, 11 giu 2023","12,8","0,0","385.876.000","147.926.696"
"11:02:43.513, 11 giu 2023","13,8","0,0","385.876.000","72.639.728"
"11:02:44.515, 11 giu 2023","12,4","0,0","385.876.000","252.704.256"
"11:02:45.516, 11 giu 2023","12,5","0,0","385.876.000","208.517.760"
"11:02:46.518, 11 giu 2023","13,0","0,0","385.876.000","131.342.608"
"11:02:47.520, 11 giu 2023","12,3","0,0","385.876.000","108.329.728"
"11:02:48.521, 11 giu 2023","12,7","0,0","385.876.000","79.163.648"
"11:02:49.522, 11 giu 2023","13,0","0,0","385.876.000","241.121.664"
"11:02:50.523, 11 giu 2023","12,8","0,0","385.876.000","201.030.112"
"11:02:51.524, 11 giu 2023","12,2","0,0","385.876.000","123.118.272"
"11:02:52.526, 11 giu 2023","13,0","0,0","385.876.000","89.102.952"
"11:02:53.527, 11 giu 2023","12,2","0,0","385.876.000","70.161.120"
"11:02:54.528, 11 giu 2023","12,4","0,0","385.876.000","269.461.976"
"11:02:55.529, 11 giu 2023","13,5","0,0","385.876.000","261.787.904"
"11:02:56.531, 11 giu 2023","13,0","0,0","385.876.000","208.076.160"
"11:02:57.533, 11 giu 2023","12,2","0,0","385.876.000","145.180.928"
"11:02:58.535, 11 giu 2023","13,6","0,0","385.876.000","95.464.096"
"11:02:59.535, 11 giu 2023","13,7","0,0","385.876.000","56.793.600"
"11:03:00.536, 11 giu 2023","13,0","0,0","385.876.000","240.366.224"
"11:03:01.537, 11 giu 2023","12,2","0,0","385.876.000","187.191.552"
"11:03:02.538, 11 giu 2023","14,0","0,0","385.876.000","131.081.216"
"11:03:03.539, 11 giu 2023","15,3","0,0","385.876.000","80.688.976"
"11:03:04.540, 11 giu 2023","13,2","0,0","385.876.000","240.002.832"
"11:03:05.541, 11 giu 2023","12,4","0,0","385.876.000","196.007.808"
"11:03:06.542, 11 giu 2023","12,4","0,0","385.876.000","280.136.320"
"11:03:07.544, 11 giu 2023","14,0","0,1","385.876.000","173.432.672"
"11:03:08.545, 11 giu 2023","13,6","0,1","385.876.000","79.105.800"
"11:03:09.546, 11 giu 2023","12,4","0,0","385.876.000","206.924.112"
"11:03:10.547, 11 giu 2023","14,6","0,1","385.876.000","116.606.456"
"11:03:11.548, 11 giu 2023","12,8","0,0","385.876.000","255.142.128"
"11:03:12.549, 11 giu 2023","13,2","0,0","385.876.000","159.382.272"
"11:03:13.550, 11 giu 2023","12,1","0,0","385.876.000","96.506.136"
"11:03:14.552, 11 giu 2023","13,1","0,1","385.876.000","196.979.392"
"11:03:15.553, 11 giu 2023","12,6","0,0","385.876.000","238.184.072"
"11:03:16.555, 11 giu 2023","13,0","0,1","385.876.000","152.223.840"
"11:03:17.556, 11 giu 2023","12,4","0,0","385.876.000","57.517.520"
"11:03:18.557, 11 giu 2023","12,8","0,0","385.876.000","229.534.304"
"11:03:19.558, 11 giu 2023","13,6","0,0","385.876.000","172.111.568"
"11:03:20.559, 11 giu 2023","12,8","0,0","385.876.000","125.566.392"
"11:03:21.560, 11 giu 2023","12,2","0,0","385.876.000","58.631.040"
"11:03:22.775, 11 giu 2023","12,6","0,0","385.876.000","57.453.696"
"11:03:23.563, 11 giu 2023","12,7","0,0","385.876.000","145.556.928"
"11:03:24.565, 11 giu 2023","13,0","0,0","385.876.000","79.272.128"
"11:03:25.567, 11 giu 2023","12,2","0,0","385.876.000","238.756.432"
"11:03:26.569, 11 giu 2023","14,7","0,1","385.876.000","169.929.736"
"11:03:27.570, 11 giu 2023","14,4","0,1","385.876.000","75.811.640"
"11:03:28.571, 11 giu 2023","12,2","0,0","385.876.000","211.982.848"
"11:03:29.573, 11 giu 2023","12,2","0,1","385.876.000","128.242.504"
"11:03:30.574, 11 giu 2023","13,0","0,0","385.876.000","279.031.616"
"11:03:31.575, 11 giu 2023","13,8","0,1","385.876.000","184.719.872"
"11:03:32.576, 11 giu 2023","12,0","0,1","385.876.000","102.930.944"
"11:03:33.577, 11 giu 2023","14,0","0,0","385.876.000","239.148.656"
"11:03:34.578, 11 giu 2023","14,0","0,1","385.876.000","132.618.048"
"11:03:35.579, 11 giu 2023","12,2","0,0","385.876.000","228.572.216"
"11:03:36.580, 11 giu 2023","12,2","0,0","385.876.000","146.885.760"
"11:03:37.741, 11 giu 2023","12,7","0,0","385.876.000","129.357.408"
"11:03:38.582, 11 giu 2023","12,7","0,0","385.876.000","258.174.032"
"11:03:39.584, 11 giu 2023","13,5","0,0","385.876.000","228.901.176"
"11:03:40.585, 11 giu 2023","13,9","0,0","385.876.000","174.586.320"
"11:03:41.586, 11 giu 2023","12,2","0,0","385.876.000","95.966.288"
"11:03:42.587, 11 giu 2023","13,2","0,0","385.876.000","274.234.944"
"11:03:43.588, 11 giu 2023","12,6","0,0","385.876.000","155.109.136"
"11:03:44.589, 11 giu 2023","12,8","0,0","385.876.000","282.043.800"
"11:03:45.590, 11 giu 2023","12,4","0,0","385.876.000","199.738.808"
"11:03:46.592, 11 giu 2023","14,5","0,0","385.876.000","113.782.624"
"11:03:47.593, 11 giu 2023","12,5","0,0","385.876.000","155.413.376"
"11:03:48.594, 11 giu 2023","12,2","0,0","385.876.000","65.060.664"
"11:03:49.596, 11 giu 2023","13,5","0,0","385.876.000","246.936.160"
"11:03:50.597, 11 giu 2023","12,2","0,0","385.876.000","222.073.344"
"11:03:51.598, 11 giu 2023","14,4","0,1","385.876.000","177.988.688"
"11:03:52.748, 11 giu 2023","12,1","0,0","385.876.000","194.810.368"
"11:03:53.600, 11 giu 2023","12,9","0,1","385.876.000","87.855.616"
"11:03:54.601, 11 giu 2023","12,2","0,0","385.876.000","257.711.088"
"11:03:55.602, 11 giu 2023","12,6","0,0","385.876.000","188.128.304"
"11:03:56.604, 11 giu 2023","12,2","0,0","385.876.000","122.937.456"
"11:03:57.605, 11 giu 2023","13,0","0,0","385.876.000","241.794.112"
"11:03:58.606, 11 giu 2023","13,4","0,0","385.876.000","184.161.344"
"11:03:59.607, 11 giu 2023","13,7","0,0","385.876.000","80.572.408"
"11:04:00.608, 11 giu 2023","12,3","0,0","385.876.000","263.105.792"
"11:04:01.610, 11 giu 2023","13,1","0,0","385.876.000","159.957.504"
"11:04:02.611, 11 giu 2023","13,6","0,0","385.876.000","65.717.104"
"11:04:03.612, 11 giu 2023","12,8","0,0","385.876.000","225.065.208"
"11:04:04.613, 11 giu 2023","13,4","0,0","385.876.000","199.961.040"
"11:04:05.615, 11 giu 2023","12,1","0,0","385.876.000","147.611.112"
"11:04:06.617, 11 giu 2023","14,6","0,0","385.876.000","130.803.968"
"11:04:07.619, 11 giu 2023","14,2","0,0","385.876.000","116.181.072"
"11:04:08.620, 11 giu 2023","12,4","0,0","385.876.000","97.477.880"
"11:04:09.622, 11 giu 2023","12,8","0,0","385.876.000","236.205.048"
"11:04:10.623, 11 giu 2023","12,4","0,0","385.876.000","162.445.128"
"11:04:11.624, 11 giu 2023","14,9","0,1","385.876.000","70.809.496"
"11:04:12.625, 11 giu 2023","13,0","0,0","385.876.000","236.555.616"
"11:04:13.626, 11 giu 2023","15,1","0,1","385.876.000","169.479.280"
"11:04:14.627, 11 giu 2023","12,4","0,1","385.876.000","98.341.376"
"11:04:15.628, 11 giu 2023","12,8","0,0","385.876.000","261.783.088"
"11:04:16.629, 11 giu 2023","13,6","0,1","385.876.000","196.609.360"
"11:04:17.630, 11 giu 2023","14,0","0,1","385.876.000","132.855.088"
"11:04:18.632, 11 giu 2023","13,5","0,0","385.876.000","88.819.696"
"11:04:19.659, 11 giu 2023","12,2","0,0","385.876.000","93.108.560"
"11:04:20.634, 11 giu 2023","12,5","0,0","385.876.000","68.048.000"
"11:04:21.635, 11 giu 2023","12,7","0,0","385.876.000","279.724.272"
"11:04:22.636, 11 giu 2023","12,6","0,0","385.876.000","258.840.808"
"11:04:23.637, 11 giu 2023","13,1","0,0","385.876.000","248.290.400"
"11:04:24.638, 11 giu 2023","14,4","0,1","385.876.000","153.829.528"
"11:04:25.639, 11 giu 2023","12,2","0,0","385.876.000","282.281.272"
"11:04:26.641, 11 giu 2023","13,0","0,0","385.876.000","226.531.328"
"11:04:27.642, 11 giu 2023","12,8","0,0","385.876.000","195.661.568"
"11:04:28.642, 11 giu 2023","13,5","0,0","385.876.000","123.836.280"
"11:04:29.643, 11 giu 2023","12,6","0,0","385.876.000","264.184.576"
"11:04:30.644, 11 giu 2023","13,7","0,1","385.876.000","219.124.160"
"11:04:31.645, 11 giu 2023","13,2","0,1","385.876.000","179.354.120"
"11:04:32.647, 11 giu 2023","12,4","0,1","385.876.000","137.439.680"
"11:04:33.647, 11 giu 2023","14,0","0,0","385.876.000","93.016.832"
"11:04:34.648, 11 giu 2023","11,8","0,0","385.876.000","227.431.888"
"11:04:35.650, 11 giu 2023","13,0","0,0","385.876.000","178.411.272"
"11:04:36.652, 11 giu 2023","12,2","0,0","385.876.000","101.962.216"
"11:04:37.725, 11 giu 2023","12,6","0,0","385.876.000","265.658.904"
"11:04:38.655, 11 giu 2023","12,2","0,1","385.876.000","167.232.256"
"11:04:39.657, 11 giu 2023","13,7","0,1","385.876.000","108.827.136"
"11:04:40.657, 11 giu 2023","14,5","0,0","385.876.000","238.587.968"
"11:04:41.658, 11 giu 2023","12,4","0,1","385.876.000","169.644.544"
"11:04:42.658, 11 giu 2023","14,0","0,1","385.876.000","98.341.376"
"11:04:43.659, 11 giu 2023","12,5","0,0","385.876.000","255.627.776"
"11:04:44.661, 11 giu 2023","11,4","0,1","385.876.000","123.396.592"
"11:04:45.663, 11 giu 2023","12,4","0,0","385.876.000","257.724.928"
"11:04:46.664, 11 giu 2023","11,8","0,0","385.876.000","193.830.976"
"11:04:47.665, 11 giu 2023","12,4","0,1","385.876.000","134.756.096"
"11:04:48.667, 11 giu 2023","13,0","0,1","385.876.000","103.658.720"
"11:04:49.669, 11 giu 2023","14,0","0,1","385.876.000","74.200.976"
"11:04:50.670, 11 giu 2023","13,1","0,0","385.876.000","275.414.016"
"11:04:51.672, 11 giu 2023","14,0","0,1","385.876.000","248.158.848"
"11:04:52.672, 11 giu 2023","12,2","0,1","385.876.000","206.459.488"
"11:04:53.673, 11 giu 2023","12,5","0,1","385.876.000","153.926.232"
"11:04:54.675, 11 giu 2023","14,1","0,1","385.876.000","101.367.360"
"11:04:55.676, 11 giu 2023","12,4","0,0","385.876.000","242.206.224"
"11:04:56.678, 11 giu 2023","14,4","0,0","385.876.000","151.918.416"
"11:04:57.679, 11 giu 2023","11,8","0,0","385.876.000","124.926.384"
"11:04:58.681, 11 giu 2023","13,8","0,0","385.876.000","224.050.352"
"11:04:59.683, 11 giu 2023","13,7","0,1","385.876.000","92.235.136"
"11:05:00.685, 11 giu 2023","13,9","0,0","385.876.000","226.510.432"
"11:05:01.686, 11 giu 2023","12,1","0,1","385.876.000","139.295.032"
"11:05:02.687, 11 giu 2023","14,5","0,0","385.876.000","281.986.064"
"11:05:03.689, 11 giu 2023","12,6","0,0","385.876.000","199.348.752"
"11:05:04.690, 11 giu 2023","12,2","0,0","385.876.000","118.485.848"
"11:05:05.691, 11 giu 2023","12,2","0,1","385.876.000","70.594.960"
"11:05:06.693, 11 giu 2023","12,9","0,0","385.876.000","212.158.976"
"11:05:07.785, 11 giu 2023","12,3","0,0","385.876.000","151.431.680"
"11:05:08.696, 11 giu 2023","12,1","0,0","385.876.000","149.517.888"
"11:05:09.698, 11 giu 2023","13,0","0,0","385.876.000","224.967.456"
"11:05:10.699, 11 giu 2023","12,2","0,0","385.876.000","289.091.456"
"11:05:11.700, 11 giu 2023","12,2","0,0","385.876.000","209.316.192"
"11:05:12.701, 11 giu 2023","12,8","0,0","385.876.000","131.755.728"
"11:05:13.702, 11 giu 2023","12,6","0,0","385.876.000","269.440.352"
"11:05:14.703, 11 giu 2023","12,6","0,0","385.876.000","189.742.640"
"11:05:15.705, 11 giu 2023","12,4","0,0","385.876.000","116.328.160"
"11:05:16.706, 11 giu 2023","12,2","0,0","385.876.000","80.783.272"
"11:05:17.708, 11 giu 2023","12,2","0,0","385.876.000","288.407.144"
"11:05:18.709, 11 giu 2023","13,0","0,0","385.876.000","256.956.192"
"11:05:19.711, 11 giu 2023","13,4","0,0","385.876.000","227.712.640"
"11:05:20.713, 11 giu 2023","13,5","0,0","385.876.000","177.993.040"
"11:05:21.714, 11 giu 2023","12,6","0,0","385.876.000","119.080.936"
"11:05:22.715, 11 giu 2023","12,7","0,0","385.876.000","288.238.520"
"11:05:23.716, 11 giu 2023","12,0","0,1","385.876.000","248.473.584"
"11:05:24.718, 11 giu 2023","12,8","0,0","385.876.000","217.516.776"
"11:05:25.719, 11 giu 2023","12,4","0,0","385.876.000","183.560.320"
"11:05:26.721, 11 giu 2023","13,8","0,0","385.876.000","147.902.384"
"11:05:27.722, 11 giu 2023","12,2","0,0","385.876.000","272.630.608"
"11:05:28.724, 11 giu 2023","13,3","0,0","385.876.000","252.724.032"
"11:05:29.725, 11 giu 2023","13,0","0,0","385.876.000","231.901.976"
"11:05:30.726, 11 giu 2023","12,4","0,0","385.876.000","213.038.264"
"11:05:31.728, 11 giu 2023","12,4","0,0","385.876.000","195.685.832"
"11:05:32.730, 11 giu 2023","12,5","0,0","385.876.000","168.685.632"
"11:05:33.730, 11 giu 2023","12,3","0,0","385.876.000","137.234.336"
"11:05:34.731, 11 giu 2023","12,4","0,0","385.876.000","85.390.200"
"11:05:35.733, 11 giu 2023","12,3","0,0","385.876.000","284.203.984"
"11:05:36.734, 11 giu 2023","13,0","0,0","385.876.000","261.210.688"
"11:05:37.735, 11 giu 2023","13,5","0,0","385.876.000","150.392.408"
"11:05:38.736, 11 giu 2023","12,2","0,0","385.876.000","276.197.600"
"11:05:39.738, 11 giu 2023","12,3","0,0","385.876.000","181.695.872"
"11:05:40.740, 11 giu 2023","13,0","0,0","385.876.000","97.871.312"
"11:05:41.741, 11 giu 2023","12,2","0,0","385.876.000","256.692.336"
"11:05:42.742, 11 giu 2023","12,2","0,0","385.876.000","194.595.704"
"11:05:43.743, 11 giu 2023","12,1","0,0","385.876.000","104.527.128"
"11:05:44.744, 11 giu 2023","12,5","0,0","385.876.000","257.483.504"
"11:05:45.745, 11 giu 2023","12,2","0,0","385.876.000","192.587.480"
"11:05:46.746, 11 giu 2023","13,8","0,1","385.876.000","119.680.592"
"11:05:47.747, 11 giu 2023","13,0","0,0","385.876.000","286.654.896"
"11:05:48.749, 11 giu 2023","12,8","0,0","385.876.000","210.875.968"
"11:05:49.750, 11 giu 2023","12,2","0,0","385.876.000","162.516.160"
"11:05:50.751, 11 giu 2023","14,5","0,1","385.876.000","122.750.880"
"11:05:51.752, 11 giu 2023","12,6","0,1","385.876.000","89.101.648"
"11:05:52.753, 11 giu 2023","12,2","0,0","385.876.000","248.484.384"
"11:05:53.754, 11 giu 2023","12,2","0,0","385.876.000","177.305.600"
"11:05:54.755, 11 giu 2023","13,7","0,0","385.876.000","102.721.600"
"11:05:55.756, 11 giu 2023","13,0","0,0","385.876.000","280.911.112"
"11:05:56.757, 11 giu 2023","12,2","0,0","385.876.000","253.564.128"
"11:05:57.758, 11 giu 2023","12,2","0,0","385.876.000","164.607.488"
"11:05:58.760, 11 giu 2023","13,0","0,1","385.876.000","137.851.840"
"11:05:59.762, 11 giu 2023","13,5","0,0","385.876.000","97.942.072"
"11:06:00.763, 11 giu 2023","12,2","0,0","385.876.000","232.168.928"
"11:06:01.765, 11 giu 2023","12,3","0,1","385.876.000","158.880.640"
"11:06:02.767, 11 giu 2023","12,8","0,1","385.876.000","118.715.312"
"11:06:03.769, 11 giu 2023","13,0","0,1","385.876.000","75.112.232"
"11:06:04.770, 11 giu 2023","12,2","0,0","385.876.000","227.209.216"
"11:06:05.772, 11 giu 2023","12,3","0,0","385.876.000","197.737.176"
"11:06:06.773, 11 giu 2023","14,0","0,0","385.876.000","181.003.352"
"11:06:07.774, 11 giu 2023","12,3","0,0","385.876.000","139.283.904"
"11:06:08.776, 11 giu 2023","12,8","0,0","385.876.000","96.750.080"
"11:06:09.777, 11 giu 2023","13,0","0,0","385.876.000","244.909.184"
"11:06:10.778, 11 giu 2023","12,2","0,0","385.876.000","217.607.872"
"11:06:11.780, 11 giu 2023","12,2","0,1","385.876.000","142.858.584"
"11:06:12.781, 11 giu 2023","13,0","0,0","385.876.000","275.103.056"
"11:06:13.782, 11 giu 2023","13,9","0,1","385.876.000","180.676.888"
"11:06:14.784, 11 giu 2023","13,9","0,1","385.876.000","82.106.376"
"11:06:15.784, 11 giu 2023","12,4","0,0","385.876.000","218.427.288"
"11:06:16.786, 11 giu 2023","12,4","0,1","385.876.000","136.743.328"
"11:06:17.787, 11 giu 2023","13,0","0,0","385.876.000","68.293.880"
