"Time [ms]","Size [B]","Used [B]","CPU usage [%]","GC activity [%]"
"17:03:24.269, 10 giu 2023","335.544.352","222.636.032","12,9","0,0"
"17:03:25.270, 10 giu 2023","335.544.352","224.733.184","13,3","0,0"
"17:03:26.271, 10 giu 2023","492.830.752","225.056.768","20,4","1,0"
"17:03:27.272, 10 giu 2023","492.830.752","227.153.920","14,3","0,0"
"17:03:28.273, 10 giu 2023","492.830.752","229.251.072","13,6","0,0"
"17:03:29.275, 10 giu 2023","492.830.752","231.348.224","13,4","0,0"
"17:03:30.276, 10 giu 2023","492.830.752","233.445.376","14,3","0,0"
"17:03:31.277, 10 giu 2023","492.830.752","235.542.528","13,8","0,0"
"17:03:32.278, 10 giu 2023","492.830.752","237.639.680","13,7","0,0"
"17:03:33.279, 10 giu 2023","492.830.752","239.736.832","13,4","0,0"
"17:03:34.280, 10 giu 2023","492.830.752","241.833.984","12,7","0,0"
"17:03:35.281, 10 giu 2023","492.830.752","243.931.136","13,4","0,0"
"17:03:36.282, 10 giu 2023","492.830.752","243.600.896","24,1","1,2"
"17:03:37.283, 10 giu 2023","492.830.752","245.698.048","13,7","0,0"
"17:03:38.284, 10 giu 2023","492.830.752","245.698.048","13,5","0,0"
"17:03:39.285, 10 giu 2023","492.830.752","247.795.200","13,4","0,0"
"17:03:40.286, 10 giu 2023","492.830.752","249.892.352","13,2","0,0"
"17:03:41.287, 10 giu 2023","492.830.752","251.989.504","13,5","0,0"
"17:03:42.288, 10 giu 2023","492.830.752","254.086.656","12,9","0,0"
"17:03:43.290, 10 giu 2023","492.830.752","256.183.808","13,8","0,0"
"17:03:44.291, 10 giu 2023","492.830.752","258.280.960","14,1","0,0"
"17:03:45.292, 10 giu 2023","492.830.752","260.378.112","13,0","0,0"
"17:03:46.293, 10 giu 2023","492.830.752","262.116.864","26,1","1,3"
"17:03:47.294, 10 giu 2023","492.830.752","264.214.016","31,2","0,0"
"17:03:48.295, 10 giu 2023","492.830.752","266.311.168","13,0","0,0"
"17:03:49.296, 10 giu 2023","492.830.752","268.408.320","14,3","0,0"
"17:03:50.297, 10 giu 2023","492.830.752","268.408.320","12,9","0,0"
"17:03:51.298, 10 giu 2023","492.830.752","270.505.472","13,1","0,0"
"17:03:52.299, 10 giu 2023","492.830.752","272.602.624","13,4","0,0"
"17:03:53.300, 10 giu 2023","492.830.752","274.699.776","14,3","0,0"
"17:03:54.301, 10 giu 2023","492.830.752","276.796.928","13,1","0,0"
"17:03:55.302, 10 giu 2023","492.830.752","278.894.080","13,0","0,0"
"17:03:56.303, 10 giu 2023","492.830.752","280.193.536","24,8","1,1"
"17:03:57.304, 10 giu 2023","492.830.752","280.193.536","13,0","0,0"
"17:03:58.305, 10 giu 2023","492.830.752","282.290.688","14,8","0,0"
"17:03:59.307, 10 giu 2023","492.830.752","284.387.840","13,2","0,0"
"17:04:00.308, 10 giu 2023","492.830.752","286.484.992","13,9","0,0"
"17:04:01.309, 10 giu 2023","492.830.752","288.582.144","13,7","0,0"
"17:04:02.311, 10 giu 2023","492.830.752","290.679.296","12,5","0,0"
"17:04:03.312, 10 giu 2023","492.830.752","292.776.448","13,0","0,0"
"17:04:04.312, 10 giu 2023","492.830.752","294.873.600","12,9","0,0"
"17:04:05.313, 10 giu 2023","492.830.752","294.873.600","13,0","0,0"
"17:04:06.314, 10 giu 2023","492.830.752","296.970.752","13,8","0,0"
"17:04:07.316, 10 giu 2023","492.830.752","297.795.584","24,0","1,4"
"17:04:08.317, 10 giu 2023","492.830.752","299.892.736","13,4","0,0"
"17:04:09.318, 10 giu 2023","492.830.752","299.892.736","13,0","0,0"
"17:04:10.319, 10 giu 2023","492.830.752","301.989.888","13,1","0,0"
"17:04:11.320, 10 giu 2023","492.830.752","304.087.040","12,6","0,0"
"17:04:12.321, 10 giu 2023","492.830.752","306.184.192","12,8","0,0"
"17:04:13.322, 10 giu 2023","492.830.752","306.184.192","12,9","0,0"
"17:04:14.323, 10 giu 2023","492.830.752","308.281.344","13,9","0,0"
"17:04:15.324, 10 giu 2023","492.830.752","310.378.496","12,7","0,0"
"17:04:16.325, 10 giu 2023","492.830.752","312.475.648","13,2","0,0"
"17:04:17.325, 10 giu 2023","492.830.752","312.475.648","12,9","0,0"
"17:04:18.327, 10 giu 2023","492.830.752","314.572.800","13,0","0,0"
"17:04:19.328, 10 giu 2023","492.830.752","315.005.440","23,4","1,2"
"17:04:20.330, 10 giu 2023","492.830.752","317.102.592","12,8","0,0"
"17:04:21.332, 10 giu 2023","492.830.752","319.199.744","12,9","0,0"
"17:04:22.334, 10 giu 2023","492.830.752","319.199.744","13,7","0,0"
"17:04:23.335, 10 giu 2023","492.830.752","321.296.896","13,0","0,0"
"17:04:24.337, 10 giu 2023","492.830.752","323.394.048","13,0","0,0"
"17:04:25.338, 10 giu 2023","492.830.752","325.491.200","12,5","0,0"
"17:04:26.340, 10 giu 2023","492.830.752","325.491.200","12,3","0,0"
"17:04:27.342, 10 giu 2023","492.830.752","325.491.200","12,3","0,0"
"17:04:28.344, 10 giu 2023","492.830.752","325.491.200","17,6","0,0"
"17:04:29.346, 10 giu 2023","492.830.752","327.588.352","13,5","0,0"
"17:04:30.348, 10 giu 2023","492.830.752","327.588.352","12,2","0,0"
"17:04:31.350, 10 giu 2023","492.830.752","327.588.352","12,2","0,0"
"17:04:32.351, 10 giu 2023","492.830.752","329.685.504","12,2","0,0"
"17:04:33.353, 10 giu 2023","492.830.752","329.685.504","13,4","0,0"
"17:04:34.354, 10 giu 2023","492.830.752","329.685.504","12,3","0,0"
"17:04:35.355, 10 giu 2023","492.830.752","331.782.656","12,3","0,0"
"17:04:36.356, 10 giu 2023","492.830.752","331.782.656","12,3","0,0"
"17:04:37.357, 10 giu 2023","492.830.752","331.782.656","12,3","0,0"
"17:04:38.358, 10 giu 2023","492.830.752","331.782.656","12,5","0,0"
"17:04:39.359, 10 giu 2023","492.830.752","324.724.736","20,7","0,9"
"17:04:40.361, 10 giu 2023","492.830.752","324.724.736","17,6","0,0"
"17:04:41.363, 10 giu 2023","492.830.752","324.724.736","12,2","0,0"
"17:04:42.365, 10 giu 2023","492.830.752","326.821.888","12,0","0,0"
"17:04:43.367, 10 giu 2023","492.830.752","326.821.888","14,1","0,0"
"17:04:44.368, 10 giu 2023","492.830.752","326.821.888","12,3","0,0"
"17:04:45.370, 10 giu 2023","492.830.752","326.821.888","12,3","0,0"
"17:04:46.371, 10 giu 2023","492.830.752","328.919.040","12,3","0,0"
"17:04:47.372, 10 giu 2023","492.830.752","328.919.040","12,6","0,0"
"17:04:48.374, 10 giu 2023","492.830.752","328.919.040","12,3","0,0"
"17:04:49.375, 10 giu 2023","492.830.752","331.016.192","12,1","0,0"
"17:04:50.377, 10 giu 2023","492.830.752","331.016.192","13,0","0,0"
"17:04:51.379, 10 giu 2023","492.830.752","331.016.192","12,9","0,0"
"17:04:52.380, 10 giu 2023","492.830.752","333.113.344","12,3","0,0"
"17:04:53.381, 10 giu 2023","492.830.752","333.113.344","12,3","0,0"
"17:04:54.383, 10 giu 2023","492.830.752","333.113.344","12,3","0,0"
"17:04:55.385, 10 giu 2023","492.830.752","335.210.496","13,2","0,0"
"17:04:56.386, 10 giu 2023","492.830.752","335.210.496","11,9","0,0"
"17:04:57.388, 10 giu 2023","492.830.752","335.210.496","12,3","0,0"
"17:04:58.390, 10 giu 2023","492.830.752","335.210.496","12,2","0,0"
"17:04:59.391, 10 giu 2023","492.830.752","337.307.648","12,3","0,0"
"17:05:00.392, 10 giu 2023","492.830.752","337.307.648","12,9","0,0"
"17:05:01.393, 10 giu 2023","492.830.752","337.307.648","12,4","0,0"
"17:05:02.395, 10 giu 2023","492.830.752","337.307.648","12,3","0,0"
"17:05:03.396, 10 giu 2023","492.830.752","339.404.800","12,5","0,0"
"17:05:04.397, 10 giu 2023","492.830.752","339.404.800","12,9","0,0"
"17:05:05.398, 10 giu 2023","492.830.752","339.404.800","12,5","0,0"
"17:05:06.399, 10 giu 2023","492.830.752","341.501.952","12,1","0,0"
"17:05:07.400, 10 giu 2023","492.830.752","341.501.952","12,2","0,0"
"17:05:08.401, 10 giu 2023","492.830.752","341.501.952","12,4","0,0"
"17:05:09.402, 10 giu 2023","492.830.752","326.657.632","15,3","0,3"
"17:05:10.403, 10 giu 2023","492.830.752","326.657.632","12,3","0,0"
"17:05:11.404, 10 giu 2023","492.830.752","326.657.632","12,2","0,0"
"17:05:12.405, 10 giu 2023","492.830.752","328.754.784","13,1","0,0"
"17:05:13.407, 10 giu 2023","492.830.752","328.754.784","11,9","0,0"
"17:05:14.408, 10 giu 2023","492.830.752","328.754.784","16,7","0,0"
"17:05:15.409, 10 giu 2023","492.830.752","328.754.784","12,2","0,0"
"17:05:16.410, 10 giu 2023","492.830.752","330.851.936","12,7","0,0"
"17:05:17.411, 10 giu 2023","492.830.752","330.851.936","12,2","0,0"
"17:05:18.412, 10 giu 2023","492.830.752","330.851.936","12,5","0,0"
"17:05:19.413, 10 giu 2023","492.830.752","332.949.088","13,1","0,0"
"17:05:20.415, 10 giu 2023","492.830.752","332.949.088","11,7","0,0"
"17:05:21.416, 10 giu 2023","492.830.752","332.949.088","12,2","0,0"
"17:05:22.417, 10 giu 2023","492.830.752","335.046.240","12,1","0,0"
"17:05:23.418, 10 giu 2023","492.830.752","335.046.240","13,1","0,0"
"17:05:24.419, 10 giu 2023","492.830.752","335.046.240","18,5","0,0"
"17:05:25.421, 10 giu 2023","492.830.752","337.143.392","18,8","0,0"
"17:05:26.423, 10 giu 2023","492.830.752","337.143.392","12,3","0,0"
"17:05:27.424, 10 giu 2023","492.830.752","337.143.392","12,5","0,0"
"17:05:28.426, 10 giu 2023","492.830.752","337.143.392","13,1","0,0"
"17:05:29.427, 10 giu 2023","492.830.752","339.240.544","12,1","0,0"
"17:05:30.427, 10 giu 2023","492.830.752","339.240.544","13,4","0,0"
"17:05:31.428, 10 giu 2023","492.830.752","339.240.544","13,6","0,0"
"17:05:32.429, 10 giu 2023","492.830.752","339.240.544","12,1","0,0"
"17:05:33.431, 10 giu 2023","492.830.752","341.337.696","12,1","0,0"
"17:05:34.433, 10 giu 2023","492.830.752","341.337.696","13,1","0,0"
"17:05:35.435, 10 giu 2023","492.830.752","343.434.848","12,5","0,0"
"17:05:36.437, 10 giu 2023","492.830.752","343.434.848","12,3","0,0"
"17:05:37.439, 10 giu 2023","492.830.752","343.434.848","12,3","0,0"
"17:05:38.441, 10 giu 2023","492.830.752","343.434.848","12,3","0,0"
"17:05:39.442, 10 giu 2023","492.830.752","345.532.000","11,9","0,0"
"17:05:40.443, 10 giu 2023","492.830.752","345.532.000","12,3","0,0"
"17:05:41.445, 10 giu 2023","492.830.752","345.532.000","11,5","0,0"
"17:05:42.990, 10 giu 2023","492.830.752","345.532.000","10,2","0,0"
"17:05:43.707, 10 giu 2023","492.830.752","345.532.000","3,0","0,0"
"17:05:44.759, 10 giu 2023","492.830.752","345.532.000","4,4","0,0"
"17:05:46.186, 10 giu 2023","492.830.752","347.629.152","8,8","0,0"
"17:05:46.809, 10 giu 2023","492.830.752","347.629.152","8,4","0,0"
"17:05:49.966, 10 giu 2023","492.830.752","347.629.152","0,0","0,0"
"17:05:49.967, 10 giu 2023","492.830.752","347.629.152","0,0","0,0"
"17:05:50.004, 10 giu 2023","492.830.752","347.629.152","0,0","0,0"
"17:05:51.056, 10 giu 2023","492.830.752","347.629.152","11,3","0,0"
"17:05:52.005, 10 giu 2023","492.830.752","349.726.304","11,9","0,0"
"17:05:53.006, 10 giu 2023","492.830.752","349.726.304","12,1","0,0"
"17:05:54.007, 10 giu 2023","492.830.752","349.726.304","11,2","0,0"
"17:05:55.008, 10 giu 2023","492.830.752","349.726.304","12,1","0,0"
"17:05:56.009, 10 giu 2023","492.830.752","351.823.456","12,3","0,0"
"17:05:57.011, 10 giu 2023","492.830.752","351.823.456","12,3","0,0"
"17:05:58.012, 10 giu 2023","492.830.752","351.823.456","12,2","0,0"
"17:05:59.013, 10 giu 2023","492.830.752","351.823.456","13,1","0,0"
"17:06:00.014, 10 giu 2023","492.830.752","353.920.608","12,5","0,0"
"17:06:01.015, 10 giu 2023","492.830.752","353.920.608","12,1","0,0"
"17:06:02.017, 10 giu 2023","492.830.752","353.920.608","13,1","0,0"
"17:06:03.018, 10 giu 2023","492.830.752","356.017.760","12,4","0,0"
"17:06:04.020, 10 giu 2023","492.830.752","356.017.760","10,3","0,0"
"17:06:05.021, 10 giu 2023","492.830.752","356.017.760","12,1","0,0"
"17:06:06.023, 10 giu 2023","492.830.752","356.017.760","12,2","0,0"
"17:06:07.024, 10 giu 2023","492.830.752","358.114.912","12,8","0,0"
"17:06:08.025, 10 giu 2023","492.830.752","358.114.912","12,1","0,0"
"17:06:09.026, 10 giu 2023","492.830.752","360.212.064","12,2","0,0"
"17:06:10.027, 10 giu 2023","492.830.752","360.212.064","12,0","0,0"
"17:06:11.028, 10 giu 2023","492.830.752","360.212.064","13,1","0,0"
"17:06:12.029, 10 giu 2023","492.830.752","360.212.064","12,3","0,0"
"17:06:13.031, 10 giu 2023","492.830.752","362.309.216","12,3","0,0"
"17:06:14.033, 10 giu 2023","492.830.752","362.309.216","13,2","0,0"
"17:06:15.035, 10 giu 2023","492.830.752","362.309.216","13,4","0,0"
"17:06:16.036, 10 giu 2023","492.830.752","364.406.368","12,3","0,0"
"17:06:17.037, 10 giu 2023","492.830.752","364.406.368","12,3","0,0"
"17:06:18.038, 10 giu 2023","492.830.752","364.406.368","12,1","0,0"
"17:06:19.039, 10 giu 2023","492.830.752","326.163.520","12,4","0,0"
"17:06:20.041, 10 giu 2023","492.830.752","326.163.520","12,1","0,0"
"17:06:21.042, 10 giu 2023","492.830.752","326.163.520","12,1","0,0"
"17:06:22.044, 10 giu 2023","492.830.752","328.260.672","12,0","0,0"
"17:06:23.045, 10 giu 2023","492.830.752","328.260.672","12,1","0,0"
"17:06:24.045, 10 giu 2023","492.830.752","328.260.672","12,4","0,0"
"17:06:25.047, 10 giu 2023","492.830.752","328.260.672","12,1","0,0"
"17:06:26.048, 10 giu 2023","492.830.752","330.357.824","12,9","0,0"
"17:06:27.050, 10 giu 2023","492.830.752","330.357.824","12,0","0,0"
"17:06:28.051, 10 giu 2023","492.830.752","330.357.824","12,5","0,0"
"17:06:29.052, 10 giu 2023","492.830.752","332.454.976","13,1","0,0"
"17:06:30.053, 10 giu 2023","492.830.752","332.454.976","12,3","0,0"
"17:06:31.055, 10 giu 2023","492.830.752","332.454.976","12,3","0,0"
"17:06:32.056, 10 giu 2023","492.830.752","334.552.128","12,3","0,0"
"17:06:33.058, 10 giu 2023","492.830.752","334.552.128","12,4","0,0"
"17:06:34.059, 10 giu 2023","492.830.752","334.552.128","12,4","0,0"
"17:06:35.060, 10 giu 2023","492.830.752","336.649.280","12,3","0,0"
"17:06:36.061, 10 giu 2023","492.830.752","336.649.280","13,1","0,0"
"17:06:37.062, 10 giu 2023","492.830.752","338.746.432","12,5","0,0"
"17:06:38.063, 10 giu 2023","492.830.752","338.746.432","12,2","0,0"
"17:06:39.064, 10 giu 2023","492.830.752","338.746.432","12,3","0,0"
"17:06:40.065, 10 giu 2023","492.830.752","340.843.584","12,9","0,0"
"17:06:41.066, 10 giu 2023","492.830.752","340.843.584","12,3","0,0"
"17:06:42.068, 10 giu 2023","492.830.752","340.843.584","13,1","0,0"
"17:06:43.068, 10 giu 2023","492.830.752","342.940.736","12,2","0,0"
"17:06:44.069, 10 giu 2023","492.830.752","342.940.736","12,2","0,0"
"17:06:45.070, 10 giu 2023","492.830.752","342.940.736","13,0","0,0"
"17:06:46.072, 10 giu 2023","492.830.752","345.037.888","12,3","0,0"
"17:06:47.073, 10 giu 2023","492.830.752","345.037.888","12,2","0,0"
"17:06:48.074, 10 giu 2023","492.830.752","345.037.888","12,7","0,0"
"17:06:49.075, 10 giu 2023","492.830.752","347.135.040","12,2","0,0"
"17:06:50.076, 10 giu 2023","492.830.752","347.135.040","14,4","0,0"
"17:06:51.077, 10 giu 2023","492.830.752","347.135.040","12,4","0,0"
"17:06:52.078, 10 giu 2023","492.830.752","349.232.192","13,1","0,0"
"17:06:53.078, 10 giu 2023","492.830.752","349.232.192","12,2","0,0"
"17:06:54.079, 10 giu 2023","492.830.752","351.329.344","12,2","0,0"
"17:06:55.081, 10 giu 2023","492.830.752","351.329.344","12,9","0,0"
"17:06:56.082, 10 giu 2023","492.830.752","351.329.344","12,2","0,0"
"17:06:57.083, 10 giu 2023","492.830.752","353.426.496","12,9","0,0"
"17:06:58.084, 10 giu 2023","492.830.752","353.426.496","11,9","0,0"
"17:06:59.085, 10 giu 2023","492.830.752","353.426.496","13,1","0,0"
"17:07:00.087, 10 giu 2023","492.830.752","355.523.648","12,3","0,0"
"17:07:01.089, 10 giu 2023","492.830.752","355.523.648","12,5","0,0"
"17:07:02.091, 10 giu 2023","492.830.752","355.523.648","12,5","0,0"
"17:07:03.093, 10 giu 2023","492.830.752","357.620.800","12,5","0,0"
"17:07:04.095, 10 giu 2023","492.830.752","357.620.800","13,0","0,0"
"17:07:05.096, 10 giu 2023","492.830.752","357.620.800","14,9","0,0"
"17:07:06.097, 10 giu 2023","492.830.752","359.717.952","12,3","0,0"
"17:07:07.099, 10 giu 2023","492.830.752","359.717.952","12,1","0,0"
"17:07:08.100, 10 giu 2023","492.830.752","359.717.952","13,1","0,0"
"17:07:09.102, 10 giu 2023","492.830.752","361.815.104","14,5","0,0"
"17:07:10.103, 10 giu 2023","492.830.752","361.815.104","12,5","0,0"
"17:07:11.104, 10 giu 2023","492.830.752","361.815.104","12,2","0,0"
"17:07:12.105, 10 giu 2023","492.830.752","363.912.256","12,7","0,0"
"17:07:13.106, 10 giu 2023","492.830.752","363.912.256","12,3","0,0"
"17:07:14.107, 10 giu 2023","492.830.752","366.009.408","12,6","0,0"
"17:07:15.109, 10 giu 2023","492.830.752","366.009.408","12,4","0,0"
"17:07:16.110, 10 giu 2023","492.830.752","366.009.408","13,5","0,0"
"17:07:17.111, 10 giu 2023","492.830.752","368.106.560","12,3","0,0"
"17:07:18.112, 10 giu 2023","492.830.752","368.106.560","16,0","0,0"
"17:07:19.114, 10 giu 2023","492.830.752","326.150.856","24,6","0,0"
"17:07:20.116, 10 giu 2023","553.648.160","326.150.856","25,9","0,0"
"17:07:21.117, 10 giu 2023","553.648.160","326.150.856","12,7","0,0"
"17:07:22.119, 10 giu 2023","553.648.160","328.248.008","12,3","0,0"
"17:07:23.120, 10 giu 2023","553.648.160","328.248.008","12,3","0,0"
"17:07:24.121, 10 giu 2023","553.648.160","328.248.008","13,1","0,0"
"17:07:25.123, 10 giu 2023","553.648.160","330.345.160","12,4","0,0"
"17:07:26.125, 10 giu 2023","553.648.160","330.345.160","12,5","0,0"
"17:07:27.126, 10 giu 2023","553.648.160","330.345.160","12,4","0,0"
"17:07:28.127, 10 giu 2023","553.648.160","332.442.312","13,3","0,0"
"17:07:29.128, 10 giu 2023","553.648.160","332.442.312","12,2","0,0"
"17:07:30.130, 10 giu 2023","553.648.160","332.442.312","12,1","0,0"
"17:07:31.131, 10 giu 2023","553.648.160","334.539.464","12,4","0,0"
"17:07:32.133, 10 giu 2023","553.648.160","334.539.464","12,2","0,0"
"17:07:33.134, 10 giu 2023","553.648.160","334.539.464","12,4","0,0"
"17:07:34.135, 10 giu 2023","553.648.160","336.636.616","12,3","0,0"
"17:07:35.137, 10 giu 2023","553.648.160","336.636.616","13,1","0,0"
"17:07:36.138, 10 giu 2023","553.648.160","338.733.768","11,9","0,0"
"17:07:37.140, 10 giu 2023","553.648.160","338.733.768","12,3","0,0"
"17:07:38.141, 10 giu 2023","553.648.160","338.733.768","13,1","0,0"
"17:07:39.143, 10 giu 2023","553.648.160","340.830.920","12,7","0,0"
"17:07:40.145, 10 giu 2023","553.648.160","340.830.920","12,1","0,0"
"17:07:41.146, 10 giu 2023","553.648.160","340.830.920","11,9","0,0"
"17:07:42.147, 10 giu 2023","553.648.160","342.928.072","13,1","0,0"
"17:07:43.148, 10 giu 2023","553.648.160","342.928.072","12,1","0,0"
"17:07:44.149, 10 giu 2023","553.648.160","342.928.072","12,0","0,0"
"17:07:45.151, 10 giu 2023","553.648.160","345.025.224","13,1","0,0"
"17:07:46.152, 10 giu 2023","553.648.160","345.025.224","12,3","0,0"
"17:07:47.154, 10 giu 2023","553.648.160","345.025.224","12,3","0,0"
"17:07:48.155, 10 giu 2023","553.648.160","347.122.376","12,1","0,0"
"17:07:49.157, 10 giu 2023","553.648.160","347.122.376","12,8","0,0"
"17:07:50.158, 10 giu 2023","553.648.160","349.219.528","12,5","0,0"
"17:07:51.159, 10 giu 2023","553.648.160","349.219.528","12,3","0,0"
"17:07:52.160, 10 giu 2023","553.648.160","349.219.528","12,6","0,0"
"17:07:53.162, 10 giu 2023","553.648.160","351.316.680","12,4","0,0"
"17:07:54.163, 10 giu 2023","553.648.160","351.316.680","13,0","0,0"
"17:07:55.164, 10 giu 2023","553.648.160","351.316.680","12,1","0,0"
"17:07:56.166, 10 giu 2023","553.648.160","353.413.832","12,1","0,0"
"17:07:57.167, 10 giu 2023","553.648.160","353.413.832","12,3","0,0"
"17:07:58.168, 10 giu 2023","553.648.160","353.413.832","13,1","0,0"
"17:07:59.169, 10 giu 2023","553.648.160","355.510.984","12,9","0,0"
"17:08:00.171, 10 giu 2023","553.648.160","355.510.984","12,2","0,0"
"17:08:01.172, 10 giu 2023","553.648.160","357.608.136","11,9","0,0"
"17:08:02.173, 10 giu 2023","553.648.160","357.608.136","12,5","0,0"
"17:08:03.174, 10 giu 2023","553.648.160","357.608.136","12,5","0,0"
"17:08:04.176, 10 giu 2023","553.648.160","359.705.288","12,3","0,0"
"17:08:05.177, 10 giu 2023","553.648.160","359.705.288","12,3","0,0"
"17:08:06.178, 10 giu 2023","553.648.160","359.705.288","13,1","0,0"
"17:08:07.179, 10 giu 2023","553.648.160","361.802.440","12,3","0,0"
"17:08:08.180, 10 giu 2023","553.648.160","361.802.440","12,3","0,0"
"17:08:09.181, 10 giu 2023","553.648.160","361.802.440","12,3","0,0"
"17:08:10.182, 10 giu 2023","553.648.160","363.899.592","12,3","0,0"
"17:08:11.183, 10 giu 2023","553.648.160","363.899.592","13,1","0,0"
"17:08:12.184, 10 giu 2023","553.648.160","365.996.744","12,2","0,0"
"17:08:13.185, 10 giu 2023","553.648.160","365.996.744","12,7","0,0"
"17:08:14.186, 10 giu 2023","553.648.160","365.996.744","12,3","0,0"
"17:08:15.187, 10 giu 2023","553.648.160","368.093.896","12,3","0,0"
"17:08:16.189, 10 giu 2023","553.648.160","368.093.896","12,5","0,0"
"17:08:17.190, 10 giu 2023","553.648.160","368.093.896","12,4","0,0"
"17:08:18.191, 10 giu 2023","553.648.160","370.191.048","12,5","0,0"
"17:08:19.192, 10 giu 2023","553.648.160","370.191.048","12,3","0,0"
"17:08:20.193, 10 giu 2023","553.648.160","372.288.200","12,3","0,0"
